Species,Sample Type,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths collected,Sex,Length ME-fork,Length ME-A.fin,Whole fish (y/n),Fishery - Fed or State (F/S),Age,LAST 5 DIGITS OF GENETICS CARD,GENETICS  FISH #,SUBSAMPLED FOR ORIGIN? ,Origin    (h/w),,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,9,2,F,519,403,Y,S,"1,3",68976,9,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,6,1,F,523,395,Y,S,"1,3",68997,6,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,7,2,F,525,390,Y,S,"1,3",68997,19,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,4,2,F,484,387,Y,S,"1,4",68976,16,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,3,0,M,515,381,Y,S,E5,68997,15,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,8,2,F,487,381,Y,S,"1,2",68997,20,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,12,2,F,489,377,Y,S,"2,3",68976,12,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,11,1,F,517,376,Y,S,"1,3",68976,11,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,7,2,M,504,376,Y,S,"1,3",68997,7,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,2,2,F,504,375,Y,S,"1,3",68997,14,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,3,2,M,491,374,Y,S,"1,2",68997,3,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,1,2,M,489,374,Y,S,"1,2",68997,13,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,12,2,F,489,371,Y,S,"1,3",68997,24,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,C,1,1,F,493,369,Y,S,"1,3",68997,25,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,5,1,M,476,369,Y,S,"1,2",68997,5,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,1,1,F,487,365,Y,S,"1,3",68976,1,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,5,2,F,476,359,Y,S,"1,3",68976,5,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,6,0,M,471,359,Y,S,E5,68976,18,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,2,0,F,467,359,Y,S,E5,68976,2,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,10,1,M,472,358,Y,S,"1,2",68976,10,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,2,1,M,476,357,Y,S,"1,1",68976,14,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,2,2,M,462,357,Y,S,"1,2",68997,2,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,6,1,M,467,354,Y,S,"1,2",68976,6,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,5,2,F,458,353,Y,S,"1,2",68976,17,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,8,1,M,475,352,Y,S,"1,2",68997,8,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,4,2,F,472,351,Y,S,"1,3",68997,4,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,4,0,M,444,349,Y,S,E5,68976,4,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,5,2,F,469,348,Y,S,"1,2",68997,17,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,3,1,F,444,347,Y,S,"2,3",68976,15,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,7,1,F,458,346,Y,S,"1,2",68976,7,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,12,2,M,455,346,Y,S,"1,2",68997,12,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,6,1,F,456,344,Y,S,"1,2",68997,18,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,C,2,2,M,444,342,Y,S,"1,2",68997,26,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,11,2,M,458,341,Y,S,"1,2",68997,23,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,11,2,F,451,338,Y,S,"1,2",68997,11,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,7,0,M,436,337,Y,S,E5,68976,19,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,10,1,F,432,331,Y,S,"1,2",68997,10,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,3,1,F,428,331,Y,S,"1,2",68976,3,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,1,2,M,424,331,Y,S,"1,2",68997,1,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,1,1,F,439,328,Y,S,"1,2",68976,13,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,9,0,M,436,325,Y,S,E5,68997,21,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,10,2,M,422,321,Y,S,"1,2",68997,22,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,5,2,M,586,449,Y,S,"1,3",68966,3,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,9,2,F,533,415,Y,S,E9,68966,7,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,4,2,M,537,408,Y,S,"2,3",68966,2,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,12,2,M,519,403,Y,S,"1,2",68966,10,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,8,2,M,508,398,Y,S,"1,3",68972,10,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,11,2,M,517,396,Y,S,"1,3",68972,13,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,D,4,2,F,508,394,Y,S,"1,2",68966,14,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,D,3,2,M,504,386,Y,S,"1,2",68972,17,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,B,11,2,M,494,376,Y,S,"1,2",68972,1,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,10,1,M,494,376,Y,S,"2,2",68972,12,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,12,2,M,489,375,Y,S,"2,2",68972,14,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,6,2,M,489,372,Y,S,"1,4",68972,8,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,7,2,F,491,370,Y,S,"2,3",68966,5,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,6,2,F,486,369,Y,S,"2,2",68966,4,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,11,2,M,475,369,Y,S,"1,2",68966,9,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,D,1,2,M,477,365,Y,S,"1,2",68966,11,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,D,1,2,M,467,358,Y,S,"1,2",68972,15,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,1,1,M,469,357,Y,S,"1,3",68972,3,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,10,2,F,468,356,Y,S,"1,2",68966,8,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,3,2,M,461,354,Y,S,"1,3",68972,5,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,5,2,M,463,352,Y,S,"1,2",68972,7,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,D,2,2,M,459,352,Y,S,"2,2",68966,12,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,8,1,F,452,348,Y,S,"2,2",68966,6,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,D,2,2,M,452,348,Y,S,"1,2",68972,16,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,D,5,2,F,457,346,Y,S,"1,2",68966,15,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,B,12,2,F,455,346,Y,S,"1,2",68972,2,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,C,3,2,F,453,346,Y,S,"2,2",68966,1,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/12/2022,6/12/2022,2,25,D,3,2,M,454,345,Y,S,"1,2",68966,13,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,4,2,M,444,343,Y,S,"1,2",68972,6,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,9,2,F,453,342,Y,S,"1,2",68972,11,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,D,4,1,F,442,337,Y,S,"1,2",68972,18,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,2,2,M,442,332,Y,S,"1,2",68972,4,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/12/2022,6/12/2022,2,25,C,7,2,M,422,332,Y,S,"1,2",68972,9,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,B,5,2,M,573,439,Y,S,"1,2",68965,17,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,C,5,1,M,544,423,Y,S,"1,2",68968,29,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,B,2,2,M,562,422,Y,S,"2,3",68965,14,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,A,5,2,M,542,421,Y,S,"1,3",68968,5,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,A,8,2,M,545,420,Y,S,"2,2",68965,8,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,A,10,2,F,535,413,Y,S,"1,2",68965,10,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,2,2,M,539,410,Y,S,"1,3",68968,14,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,B,6,2,F,538,406,Y,S,"1,2",68965,18,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,11,2,F,538,402,Y,S,"1,3",68968,23,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,9,2,M,526,402,Y,S,"1,2",68968,21,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,C,4,2,M,529,401,Y,S,"1,2",68965,28,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,A,8,1,F,525,397,Y,S,"2,3",68968,8,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,C,1,2,M,502,395,Y,S,"1,2",68965,25,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,12,0,M,508,393,Y,S,E5,68968,24,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,A,4,2,M,512,392,Y,S,"1,2",68968,4,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,A,9,2,M,514,391,Y,S,E10,68968,9,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,10,2,F,512,391,Y,S,"1,3",68968,22,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,4,2,F,508,391,Y,S,"1,3",68968,16,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,C,3,2,F,488,391,Y,S,"1,3",68968,27,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,B,12,1,M,511,388,Y,S,"1,2",68965,24,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,A,1,2,F,504,388,Y,S,"2,2",68968,1,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,7,2,F,509,386,Y,S,"1,2",68968,19,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO002,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/16/2022,6/16/2022,3,25,B,10,2,NA,491,384,Y,S,"1,2",68965,22,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,B,3,1,M,513,382,Y,S,"1,3",68968,15,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO004,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/16/2022,6/16/2022,3,25,C,6,1,F,501,381,Y,S,"1,3",68968,30,,,,,,,,,,,,,,,,,,,,,,,
