SUBDISTRICT,FISHERY,SAMPLE WEEK,HARVDATE,SOCKEYE,KING,COHO,OTHER,Boat_Shore,STAT WEEK,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/4/2020,0,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/4/2020,17,3,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,34,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,8,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,41,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,25,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,9,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,14,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,20,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,11,3,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,20,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/5/2020,8,0,0,,,,,,,,
Chitina Subdistrict,State PU,,6/6/2020,25,0,0,0,S,23,,,,,
Chitina Subdistrict,State PU,,6/6/2020,60,0,0,0,S,23,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,25,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,1,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,30,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,17,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,10,5,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,15,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,15,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,22,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/6/2020,0,3,0,,,,,,,,
Chitina Subdistrict,State PU,,6/7/2020,11,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,44,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,14,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,16,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,11,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,11,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,20,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,35,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,26,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,22,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,24,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,17,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,64,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,45,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,18,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,4,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,11,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,27,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,14,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,13,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,9,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,9,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,4,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,34,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,4,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,21,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,23,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,45,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,67,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,9,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,7,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,13,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,5,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,22,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,20,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,4,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,29,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,4,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,5,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,20,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,4,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,13,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,28,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,27,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,20,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,7,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,23,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,5,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,5,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,7,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,5,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,8,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,13,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,13,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,4,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,7,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,22,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,27,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,47,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,5,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,27,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,16,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,18,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,5,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,9,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,25,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,1,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,22,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,21,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,7,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,7,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,10,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,37,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,50,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,15,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,12,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,65,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,35,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/7/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/7/2020,2,0,0,,,,,,,,
Chitina Subdistrict,State PU,,6/8/2020,20,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,29,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,15,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,1,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,3,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,45,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/8/2020,14,0,0,0,B,24,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/8/2020,6,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/8/2020,15,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/8/2020,1,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/8/2020,5,6,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/8/2020,48,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/8/2020,32,1,0,,,,,,,,
Chitina Subdistrict,State PU,,6/9/2020,23,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,14,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,12,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,6,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,55,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,8,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,4,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/9/2020,25,0,0,0,S,24,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/9/2020,38,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/9/2020,27,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/9/2020,2,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/9/2020,38,0,0,,,,,,,,
Chitina Subdistrict,State PU,,6/10/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,7,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,20,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,11,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,20,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,25,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,2,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,13,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,6,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,13,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,0,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/10/2020,10,0,0,0,B,24,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/10/2020,0,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/10/2020,5,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/10/2020,17,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/10/2020,18,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/10/2020,50,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/10/2020,25,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/10/2020,42,0,0,,,,,,,,
Chitina Subdistrict,State PU,,6/11/2020,27,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,2,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,24,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,11,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,3,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,24,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,12,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,4,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,10,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,15,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,33,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,3,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,26,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,8,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,17,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,7,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,40,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,27,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,4,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,1,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,15,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,0,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,43,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,16,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,13,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,16,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,29,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,42,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,9,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,2,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,8,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,19,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,6,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,6,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,4,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,26,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,2,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,17,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,9,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,16,0,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,5,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,34,1,0,0,B,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,21,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,15,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,20,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,34,1,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,0,0,0,0,S,24,,,,,
Chitina Subdistrict,State PU,,6/11/2020,24,0,0,0,S,24,,,,,
