Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,NVE Yellow Tag Number,Adipose Fin Present (Y/N),Notes (include radio tag # in this column),Age,Aged by
BP002,Williams,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,742,561,4,M,13315,Y,,13,
BP002,Williams,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,786,578,5,F,,Y,,13,
AP002,Sanchez-Butler,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,451,336,1,M,,Y,,12,
AP002,Sanchez-Butler,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,613,472,2,M,,Y,RIGHT SIDE SCALE,12,
AP002,Sanchez-Butler,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,776,582,3,F,,Y,,E3,
CS004,Northway,2,6/12/2022,25,GSD,Bridge to Tonsina,BT,S,FW,86,Y,854,494,1,M,,Y,,E3,
CS004,Northway,2,6/12/2022,25,GSD,Bridge to Tonsina,BT,S,FW,86,Y,743,435,2,F,,Y,,13,
CS004,Northway,2,6/12/2022,25,GSD,Bridge to Tonsina,BT,S,FW,86,Y,613,358,3,M,14184,Y,,12,
CS004,Northway,2,6/12/2022,25,GSD,Bridge to Tonsina,BT,S,FW,86,Y,675,393,4,M,,Y,,13,
CS004,Northway,2,6/12/2022,25,GSD,Bridge to Tonsina,BT,S,FW,86,Y,795,463,5,M,,Y,,13,
CS004,Northway,2,6/12/2022,25,GSD,Bridge to Tonsina,BT,S,FW,86,Y,800,461,6,M,,Y,,E6,
AP003,Sanchez-Butler,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,796,609,1,F,,Y,,13,
AP003,Sanchez-Butler,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,801,592,2,M,,Y,,13,
AP003,Sanchez-Butler,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,812,621,3,M,14515,Y,,13,
AP003,Sanchez-Butler,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,744,563,4,F,14234,Y,,13,
AP004,Sanchez-Butler,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,838,651,1,M,,Y,,13,
AP004,Sanchez-Butler,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,824,631,2,F,,Y,,13,
BP003,Williams,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,802,608,1,F,,Y,,E3,
BP003,Williams,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,643,491,2,M,,Y,,E4,
BP003,Williams,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,799,597,3,F,,Y,,13,
BP003,Williams,2,6/17/2022,25,CSD,Below Bridge,BB,S,DN,,Y,847,651,4,M,,Y,NO GOOD SCALES,E3,
CS005,Northway,3,6/17/2022,25,GSD,Bridge to Tonsina,BT,S,FW,N/A,Y,671,553,1,M,,Y,,13,
CS005,Northway,3,6/17/2022,25,GSD,Bridge to Tonsina,BT,S,FW,3,Y,719,565,2,M,,Y,,13,
CS005,Northway,3,6/17/2022,25,GSD,Bridge to Tonsina,BT,S,FW,3,Y,814,641,3,F,,Y,right side scales,E4,
CS005,Northway,3,6/17/2022,25,GSD,Bridge to Tonsina,BT,S,FW,3,Y,732,585,4,F,,Y,,13,
CS005,Northway,3,6/17/2022,25,GSD,Bridge to Tonsina,BT,S,FW,3,Y,755,601,5,F,,Y,,E3,
CS005,Northway,3,6/17/2022,25,GSD,Bridge to Tonsina,BT,S,FW,3,Y,591,466,6,M,,Y,,12,
CS005,Northway,3,6/17/2022,25,GSD,Bridge to Tonsina,BT,S,FW,3,Y,625,499,7,M,,Y,,E6,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,Y,NA,553,1,F,,Y,"RIGHT SIDE SCALE, NO GOOD SCALES",E3,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,Y,755,568,2,F,,Y,,13,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,Y,821,615,3,M,,Y,,E3,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,Y,783,592,4,F,,Y,,13,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,Y,859,645,5,M,,Y,RIGHT SIDE SCALE,E3,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,Y,576,428,6,M,,Y,,E3,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,Y,797,602,7,F,,Y,,13,
BP004,Williams,2,6/18/2022,25,CSD,Below Bridge,BB,S,DN,,N,NA,NA,8,M,,Y,,E6,
CS006,Northway,3,6/18/2022,25,GSD,Bridge to Tonsina,BT,S,FW,82,Y,629,492,1,M,308,Y,,12,
CS006,Northway,3,6/18/2022,25,GSD,Bridge to Tonsina,BT,S,FW,82,Y,857,694,2,F,,Y,,13,
CS006,Northway,3,6/18/2022,25,GSD,Bridge to Tonsina,BT,S,FW,82,Y,791,625,3,M,,Y,,E3,
CS006,Northway,3,6/18/2022,25,GSD,Bridge to Tonsina,BT,S,FW,82,Y,586,470,4,M,,Y,,E3,
CS007,Northway,4,6/23/2022,26,GSD,Tonsina to Gakona,TG,S,FW,101,Y,812,610,1,F,,Y,,E3,
AS002,Sanchez-Butler,4,6/24/2022,26,GSD,Bridge to Tonsina,BT,S,FW,3,Y,891,666,1,F,14741,Y,,14,
AS002,Sanchez-Butler,4,6/24/2022,26,GSD,Bridge to Tonsina,BT,S,FW,3,Y,867,652,2,F,,Y,,E6,
AS002,Sanchez-Butler,4,6/24/2022,26,GSD,Bridge to Tonsina,BT,S,FW,3,Y,773,581,3,M,,Y,,E3,
AS002,Sanchez-Butler,4,6/24/2022,26,GSD,Bridge to Tonsina,BT,S,FW,3,Y,902,684,4,M,,Y,,E6,
CS008,Northway,4,6/24/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,860,639,1,M,,Y,,E3,
CS008,Northway,4,6/24/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,604,459,2,M,,N,took head and put it in the freezer,12,
AP005,Sanchez-Butler,4,6/25/2022,26,CSD,Below Bridge,BB,N/A,DN,,N,584,456,1,N/A,877,Y,"CONFISCATED FISH, SAMPLED FROM TROOPER, PERMIT N/A",12,
CS009,Northway,4,6/25/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,632,489,1,M,,Y,,E4,
CS009,Northway,4,6/25/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,771,584,2,M,,Y,,E3,
CS009,Northway,4,6/25/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,779,604,3,F,,Y,,13,
CS009,Northway,4,6/25/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,791,601,4,F,,Y,,E4,
CS009,Northway,4,6/25/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,766,585,5,F,,N,took head and put it in the freezer,13,
CS009,Northway,4,6/25/2022,26,GSD,Bridge to Tonsina,BT,S,FW,82,Y,705,542,6,M,,Y,,E3,
BP006,Williams,5,6/30/2022,27,CSD,Below Bridge,BB,S,DN,,Y,661,484,1,M,1230,Y,,E3,
BP006,Williams,5,6/30/2022,27,CSD,Below Bridge,BB,S,DN,,Y,580,428,2,M,,Y,,E6,
CS010,Northway,5,6/30/2022,27,GSD,Tonsina to Gakona,TG,S,FW,104,Y,642,494,1,M,,Y,,12,
CS010,Northway,5,6/30/2022,27,GSD,Tonsina to Gakona,TG,S,FW,104,Y,569,431,2,M,,Y,,E6,
CS010,Northway,5,6/30/2022,27,GSD,Tonsina to Gakona,TG,S,FW,104,Y,656,493,3,M,,Y,,E4,
CS010,Northway,5,6/30/2022,27,GSD,Tonsina to Gakona,TG,S,FW,104,Y,765,572,4,M,,Y,,E6,
BP007,Williams,5,7/1/2022,27,CSD,Below Bridge,BB,S,DN,,Y,795,618,1,F,,Y,,13,
BP008,Williams,5,7/2/2022,27,CSD,Below Bridge,BB,S,DN,,Y,855,653,1,M,,Y,,E6,
BP008,Williams,5,7/2/2022,27,CSD,Below Bridge,BB,S,DN,,Y,780,601,2,F,,Y,,E6,
BP008,Williams,5,7/2/2022,27,CSD,Below Bridge,BB,S,DN,,Y,810,611,3,F,,Y,,13,
CS011,Northway,6,7/6/2022,28,GSD,Tonsina to Gakona,TG,F,FW,28,Y,613,472,1,M,,Y,,12,
AP006,Sanchez-Butler,6,7/7/2022,28,CSD,Below Bridge,BB,S,DN,,Y,761,591,1,F,443,Y,,13,
AP006,Sanchez-Butler,6,7/7/2022,28,CSD,Below Bridge,BB,S,DN,,Y,832,642,2,F,,Y,,13,
AP006,Sanchez-Butler,6,7/7/2022,28,CSD,Below Bridge,BB,S,DN,,Y,832,641,3,F,,Y,,13,
AP006,Sanchez-Butler,6,7/7/2022,28,CSD,Below Bridge,BB,S,DN,,Y,821,619,4,F,,Y,,13,
AP006,Sanchez-Butler,6,7/7/2022,28,CSD,Below Bridge,BB,S,DN,,Y,876,668,5,F,,Y,,14,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,626,1,F,1075,Y,,13,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,571,2,F,,Y,,E3,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,549,3,F,,Y,,13,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,612,4,M,,Y,,E3,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,660,5,F,,Y,,E4,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,667,6,F,,Y,,13,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,594,7,F,,Y,,13,
CS012,Northway,6,7/7/2022,28,GSD,Bridge to Tonsina,BT,S,FW,86,Y,-,658,8,F,1338,Y,,E3,
BP009,Williams,6,7/8/2022,28,CSD,Below Bridge,BB,S,DN,,Y,847,634,1,M,,Y,,E6,
BP009,Williams,6,7/8/2022,28,CSD,Below Bridge,BB,S,DN,,Y,819,610,2,F,,Y,,13,
BP009,Williams,6,7/8/2022,28,CSD,Below Bridge,BB,S,DN,,Y,900,688,3,M,,Y,,E6,
BP009,Williams,6,7/8/2022,28,CSD,Below Bridge,BB,S,DN,,Y,821,630,4,F,,Y,,13,
CS013,Northway,7,7/14/2022,29,GSD,Tonsina to Gakona,TG,S,FW,108,Y,797,615,1,F,,Y,,E3,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,843,636,1,F,147,Y,,13,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,828,372,2,M,,Y,,E6,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,781,587,3,F,,Y,,13,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,603,451,4,M,,Y,,12,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,639,479,5,M,1276,Y,,13,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,949,721,6,F,,Y,,E3,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,678,514,7,M,,Y,,13,
AP008,Sanchez-Butler,7,7/15/2022,29,CSD,Below Bridge,BB,S,DN,,Y,614,469,8,M,,Y,,E4,
CS014,Northway,8,7/20/2022,30,GSD,Tonsina to Gakona,TG,F,FW,23,Y,829,619,1,M,,Y,,13,
CS014,Northway,8,7/20/2022,30,GSD,Tonsina to Gakona,TG,F,FW,23,Y,790,595,2,F,,Y,,13,
CS014,Northway,8,7/20/2022,30,GSD,Tonsina to Gakona,TG,F,FW,23,Y,811,607,3,F,,Y,,E3,
BP010,Williams,8,7/22/2022,30,CSD,Below Bridge,BB,S,DN,,Y,783,593,1,F,,Y,,13,
BP010,Williams,8,7/22/2022,30,CSD,Below Bridge,BB,S,DN,,Y,746,562,2,M,,Y,,13,
BP010,Williams,8,7/22/2022,30,CSD,Below Bridge,BB,S,DN,,Y,818,621,3,F,,Y,,13,
BS001,Williams,8,7/22/2022,30,GSD,Bridge to Tonsina,BT,F,FW,86,Y,599,456,1,M,,Y,,E6,
BS001,Williams,8,7/22/2022,30,GSD,Bridge to Tonsina,BT,F,FW,86,Y,805,627,2,F,,Y,,13,
BS001,Williams,8,7/22/2022,30,GSD,Bridge to Tonsina,BT,F,FW,3,Y,870,673,3,F,,Y,,13,
CS015,Northway,8,7/23/2022,30,GSD,Tonsina to Gakona,TG,S,FW,28,Y,627,481,1,M,,Y,,E3,
CS015,Northway,8,7/23/2022,30,GSD,Tonsina to Gakona,TG,S,FW,28,Y,779,591,2,F,,Y,,E3,
AP009,Sanchez-Butler,9,7/28/2022,31,CSD,Below Bridge,BB,S,DN,,Y,806,622,1,F,,Y,,E3,
BP011,Williams,9,7/29/2022,31,CSD,Below Bridge,BB,S,DN,,Y,812,614,1,F,,Y,,13,
AP010,Sanchez-Butler,9,7/30/2022,31,CSD,Below Bridge,BB,S,DN,,Y,786,606,1,F,,Y,,13,
AP010,Sanchez-Butler,9,7/30/2022,31,CSD,Below Bridge,BB,S,DN,,Y,863,658,2,F,,Y,,13,
AP010,Sanchez-Butler,9,7/30/2022,31,CSD,Below Bridge,BB,S,DN,,Y,875,661,3,F,,Y,,E3,
AP011,Sanchez-Butler,11,8/11/2022,33,CSD,Below Bridge,BB,S,DN,,Y,790,631,1,M,,Y,,13,
AP012,Sanchez-Butler,11,8/13/2022,33,CSD,Below Bridge,BB,S,DN,,Y,806,616,1,F,,N,HEAD COLLECTED - # 564809,E3,
AP012,Sanchez-Butler,11,8/13/2022,33,CSD,Below Bridge,BB,S,DN,,Y,827,621,2,F,,Y,,E3,
AP013,Sanchez-Butler,13,8/27/2022,35,CSD,Below Bridge,BB,S,DN,,Y,996,746,1,M,,Y,,E3,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
